Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
2024-12-15,,,,,,,,
2024-12-16,314.21128242462333,317.026552632676,313.5723733545081,315.359375,6562500.0,0.0,0.0,V
2024-12-17,315.2894748506258,318.304390714388,314.61062446535163,317.7652893066406,8843900.0,0.0,0.0,V
2024-12-18,317.96496591277736,321.0797198879251,309.0399813867432,309.2596130371094,10479200.0,0.0,0.0,V
2024-12-19,311.3061490607996,316.33769098721893,310.7071813629145,314.3510437011719,8317100.0,0.0,0.0,V
2024-12-20,313.04327029149204,319.4624618218085,311.7554287117048,317.1763000488281,24387000.0,0.0,0.0,V
2024-12-21,313.04327029149204,319.4624618218085,311.7554287117048,317.1763000488281,24387000.0,,,
2024-12-22,313.04327029149204,319.4624618218085,311.7554287117048,317.1763000488281,24387000.0,,,
2024-12-23,315.1197637694503,317.43587393605134,312.8236395052103,316.6871337890625,7984600.0,0.0,0.0,V
2024-12-24,317.63554410220763,320.9998782238855,316.74702452090025,320.1113586425781,2684100.0,0.0,0.0,V
2024-12-25,317.63554410220763,320.9998782238855,316.74702452090025,320.1113586425781,2684100.0,,,
2024-12-26,319.2328415027324,320.9100426042519,318.9233646759857,320.3709411621094,2856000.0,0.0,0.0,V
2024-12-27,318.73365547689866,320.9599203244712,317.0265365929876,318.12469482421875,3489200.0,0.0,0.0,V
2024-12-28,318.73365547689866,320.9599203244712,317.0265365929876,318.12469482421875,3489200.0,,,
2024-12-29,318.73365547689866,320.9599203244712,317.0265365929876,318.12469482421875,3489200.0,,,
2024-12-30,314.1513878827395,316.57729861557755,312.7038418971402,314.78033447265625,3478500.0,0.0,0.0,V
2024-12-31,315.5889769667359,317.12639860636284,314.66054649201203,315.5091247558594,3963800.0,0.0,0.0,V
2025-01-01,315.5889769667359,317.12639860636284,314.66054649201203,315.5091247558594,3963800.0,,,
2025-01-02,317.2461837530124,319.14298599081565,311.8852092919255,313.8718566894531,5369500.0,0.0,0.0,V
2025-01-03,313.6522272626367,315.38932509526825,311.4858895302568,314.3810119628906,4271300.0,0.0,0.0,V
2025-01-04,313.6522272626367,315.38932509526825,311.4858895302568,314.3810119628906,4271300.0,,,
2025-01-05,313.6522272626367,315.38932509526825,311.4858895302568,314.3810119628906,4271300.0,,,
2025-01-06,314.4808521451,314.8602186911189,311.5457883553175,312.51416015625,6567300.0,0.0,0.0,V
2025-01-07,312.36440565634115,314.66052980966305,310.7970357124434,311.1464538574219,4958600.0,0.0,0.0,V
2025-01-08,310.4775717770788,313.5124736137634,309.6888903149872,312.07489013671875,5161600.0,0.0,0.0,V
2025-01-09,310.4775717770788,313.5124736137634,309.6888903149872,312.07489013671875,5161600.0,,,
2025-01-10,310.67724275615205,311.32614476015885,305.4759728407544,307.1930847167969,6660100.0,0.0,0.0,V
2025-01-11,310.67724275615205,311.32614476015885,305.4759728407544,307.1930847167969,6660100.0,,,
2025-01-12,310.67724275615205,311.32614476015885,305.4759728407544,307.1930847167969,6660100.0,,,
2025-01-13,304.4876612719999,306.4044494628906,303.3296061830076,306.4044494628906,9568400.0,0.0,0.0,V
2025-01-14,308.2313450699977,309.638980131781,307.0034003225749,308.5707702636719,5107600.0,0.0,0.0,V
2025-01-15,313.1530493272938,316.65716271335265,312.6039854453682,315.7486877441406,5222000.0,0.0,0.0,V
2025-01-16,315.2195912895473,318.64382213479166,315.2195912895473,316.7170715332031,4606700.0,0.0,0.0,V
2025-01-17,316.9666654031372,320.05147118370127,316.17798390983364,319.0830993652344,5805800.0,0.0,0.0,V
2025-01-18,316.9666654031372,320.05147118370127,316.17798390983364,319.0830993652344,5805800.0,,,
2025-01-19,316.9666654031372,320.05147118370127,316.17798390983364,319.0830993652344,5805800.0,,,
2025-01-20,316.9666654031372,320.05147118370127,316.17798390983364,319.0830993652344,5805800.0,,,
2025-01-21,319.7719344363929,324.0347506373584,319.46245761788066,323.0863647460937,5653000.0,0.0,0.0,V
2025-01-22,324.2244383962056,325.1928102029148,321.83846897533306,323.0164794921875,5026500.0,0.0,0.0,V
2025-01-23,323.21615432486766,327.958175225332,323.0264710515439,327.6586608886719,5297100.0,0.0,0.0,V
2025-01-24,327.468963632298,330.5338137953275,327.2593249320077,329.64532470703125,4327500.0,0.0,0.0,V
2025-01-25,327.468963632298,330.5338137953275,327.2593249320077,329.64532470703125,4327500.0,,,
2025-01-26,327.468963632298,330.5338137953275,327.2593249320077,329.64532470703125,4327500.0,,,
2025-01-27,329.44564538874334,334.9264131946269,327.49890893401204,333.97802734375,6636500.0,0.0,0.0,V
2025-01-28,334.1078351309964,337.262500156339,332.330826391565,333.91815185546875,5999600.0,0.0,0.0,V
