Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
2024-12-15,,,,,,,,
2024-12-16,515.7956492769324,519.4799160697089,493.96891653925417,496.3786315917969,8880000.0,0.0,0.0,UNH
2024-12-17,484.9275702175534,493.4909789724486,473.7951540300449,483.453857421875,14132700.0,0.0,0.0,UNH
2024-12-18,486.3514808639221,504.38442963550233,483.9318290119131,497.5934448242188,10147600.0,0.0,0.0,UNH
2024-12-19,498.0116715174993,501.50671406781447,484.17079858225287,487.1679992675781,7418100.0,0.0,0.0,UNH
2024-12-20,487.2078420918681,500.5010374402664,486.6502275946693,498.001708984375,10956900.0,0.0,0.0,UNH
2024-12-21,487.2078420918681,500.5010374402664,486.6502275946693,498.001708984375,10956900.0,,,
2024-12-22,487.2078420918681,500.5010374402664,486.6502275946693,498.001708984375,10956900.0,,,
2024-12-23,498.629031214207,506.6148912554421,496.9262862206927,504.1852722167969,4286000.0,0.0,0.0,UNH
2024-12-24,502.2535417009185,503.9463195800781,498.4597574209205,503.9463195800781,1824400.0,0.0,0.0,UNH
2024-12-25,502.2535417009185,503.9463195800781,498.4597574209205,503.9463195800781,1824400.0,,,
2024-12-26,503.4982279478351,510.0402465767904,502.5821599747367,508.9748229980469,3387000.0,0.0,0.0,UNH
2024-12-27,507.2521813902719,510.9961600822761,505.639049759236,507.8197326660156,3471800.0,0.0,0.0,UNH
2024-12-28,507.2521813902719,510.9961600822761,505.639049759236,507.8197326660156,3471800.0,,,
2024-12-29,507.2521813902719,510.9961600822761,505.639049759236,507.8197326660156,3471800.0,,,
2024-12-30,504.7030662987037,507.5608786730962,498.5294683424705,505.6390686035156,5408600.0,0.0,0.0,UNH
2024-12-31,507.1824749301377,508.8254473027905,501.1980406692996,503.7073059082031,4214000.0,0.0,0.0,UNH
2025-01-01,507.1824749301377,508.8254473027905,501.1980406692996,503.7073059082031,4214000.0,,,
2025-01-02,505.8382062093238,509.9307015199163,501.148258120942,502.3630676269531,4234900.0,0.0,0.0,UNH
2025-01-03,504.1952603680879,514.0929332658372,503.2293869364012,510.8169555664063,3019500.0,0.0,0.0,UNH
2025-01-04,504.1952603680879,514.0929332658372,503.2293869364012,510.8169555664063,3019500.0,,,
2025-01-05,504.1952603680879,514.0929332658372,503.2293869364012,510.8169555664063,3019500.0,,,
2025-01-06,510.8169380139114,518.0858608442101,507.650477737987,511.4840698242188,4444800.0,0.0,0.0,UNH
2025-01-07,516.642046223089,517.2893045042462,509.04454067395073,512.0616455078125,3914500.0,0.0,0.0,UNH
2025-01-08,512.3105837786965,522.4372890881649,507.3418280740849,522.2879638671875,4141700.0,0.0,0.0,UNH
2025-01-09,512.3105837786965,522.4372890881649,507.3418280740849,522.2879638671875,4141700.0,,,
2025-01-10,524.3989355172724,533.1714427577647,516.2636586129695,518.4742431640625,5467500.0,0.0,0.0,UNH
2025-01-11,524.3989355172724,533.1714427577647,516.2636586129695,518.4742431640625,5467500.0,,,
2025-01-12,524.3989355172724,533.1714427577647,516.2636586129695,518.4742431640625,5467500.0,,,
2025-01-13,532.763141030819,545.0705898322212,530.8712628550579,538.8372192382812,6472500.0,0.0,0.0,UNH
2025-01-14,537.3535861685739,542.2326981386119,534.2667415095611,541.4261474609375,3978300.0,0.0,0.0,UNH
2025-01-15,534.8143701010398,543.9652648884876,532.0561990423308,541.1074829101562,4103900.0,0.0,0.0,UNH
2025-01-16,528.093097442231,537.5427642670018,507.82972017295066,508.4172058105469,9059900.0,0.0,0.0,UNH
2025-01-17,503.468331921609,519.5994050629973,500.6603251235352,507.5907287597656,7495700.0,0.0,0.0,UNH
2025-01-18,503.468331921609,519.5994050629973,500.6603251235352,507.5907287597656,7495700.0,,,
2025-01-19,503.468331921609,519.5994050629973,500.6603251235352,507.5907287597656,7495700.0,,,
2025-01-20,503.468331921609,519.5994050629973,500.6603251235352,507.5907287597656,7495700.0,,,
2025-01-21,511.8624726265261,522.7658875797018,510.6377262809036,522.7559204101562,5682100.0,0.0,0.0,UNH
